REF_DATE,GEO,DGUID,Measure,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Mar-19,"Weighted average, cities measured",,THC-COOH (Cannabis metabolite),Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978059,1.1.1,263.21,,,,2
Mar-19,"Weighted average, cities measured",,THC-COOH (Cannabis metabolite),"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978060,1.1.2,224.66,,,,2
Mar-19,"Weighted average, cities measured",,THC-COOH (Cannabis metabolite),"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978061,1.1.3,301.75,,,,2
Mar-19,"Weighted average, cities measured",,THC-COOH (Cannabis metabolite),"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978062,1.1.4,13.74,,,,2
Mar-19,"Weighted average, cities measured",,THC-COOH (Cannabis metabolite),"Imputation rate, load per capita",Percentage,242,units,0,v1277978063,1.1.5,11,,,,0
Mar-19,"Weighted average, cities measured",,THC-COOH (Cannabis metabolite),Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978064,1.1.6,,F,,,0
Mar-19,"Weighted average, cities measured",,Methamphetamine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978065,1.2.1,392.28,,,,2
Mar-19,"Weighted average, cities measured",,Methamphetamine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978066,1.2.2,304.45,,,,2
Mar-19,"Weighted average, cities measured",,Methamphetamine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978067,1.2.3,480.11,,,,2
Mar-19,"Weighted average, cities measured",,Methamphetamine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978068,1.2.4,31.36,,,,2
Mar-19,"Weighted average, cities measured",,Methamphetamine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978069,1.2.5,11,,,,0
Mar-19,"Weighted average, cities measured",,Methamphetamine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978070,1.2.6,,F,,,0
Mar-19,"Weighted average, cities measured",,Amphetamine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978071,1.3.1,54.31,E,,,2
Mar-19,"Weighted average, cities measured",,Amphetamine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978072,1.3.2,47.46,E,,,2
Mar-19,"Weighted average, cities measured",,Amphetamine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978073,1.3.3,61.16,E,,,2
Mar-19,"Weighted average, cities measured",,Amphetamine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978074,1.3.4,2.04,E,,,2
Mar-19,"Weighted average, cities measured",,Amphetamine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978075,1.3.5,11,,,,0
Mar-19,"Weighted average, cities measured",,Amphetamine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978076,1.3.6,,F,,,0
Mar-19,"Weighted average, cities measured",,Benzoylecgonine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978077,1.4.1,871.78,,,,2
